[2026-04-13 18:33:15,254] INFO - Servidor de soporte gRPC escuchando en puerto 50052
[2026-04-13 18:36:57,230] INFO - Ticket creado id=1 cliente=cliente-1 prioridad=media
[2026-04-13 18:36:57,231] INFO - Ticket creado id=2 cliente=cliente-2 prioridad=baja
[2026-04-13 18:36:57,231] INFO - Pantalla publica consultada: total=2 altas=0 medias=1 bajas=1
[2026-04-13 18:36:57,274] INFO - desk-1 atendio ticket id=1 prioridad=media cliente=cliente-1
[2026-04-13 18:36:57,276] INFO - desk-2 atendio ticket id=2 prioridad=baja cliente=cliente-2
[2026-04-13 18:36:57,276] INFO - Pantalla publica consultada: total=0 altas=0 medias=0 bajas=0
[2026-04-13 18:36:57,316] INFO - desk-1 solicito ticket pero no habia pendientes
[2026-04-13 18:36:57,318] INFO - desk-3 solicito ticket pero no habia pendientes
[2026-04-13 18:36:57,319] INFO - Ticket creado id=3 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:57,358] INFO - Ticket creado id=4 cliente=cliente-1 prioridad=alta
[2026-04-13 18:36:57,361] INFO - Ticket creado id=5 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:57,361] INFO - Pantalla publica consultada: total=3 altas=2 medias=0 bajas=1
[2026-04-13 18:36:57,401] INFO - Pantalla publica consultada: total=3 altas=2 medias=0 bajas=1
[2026-04-13 18:36:57,403] INFO - Ticket creado id=6 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:57,404] INFO - desk-2 atendio ticket id=3 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:57,444] INFO - Ticket creado id=7 cliente=cliente-1 prioridad=media
[2026-04-13 18:36:57,446] INFO - desk-3 atendio ticket id=4 prioridad=alta cliente=cliente-1
[2026-04-13 18:36:57,446] INFO - Pantalla publica consultada: total=3 altas=0 medias=1 bajas=2
[2026-04-13 18:36:57,486] INFO - Pantalla publica consultada: total=3 altas=0 medias=1 bajas=2
[2026-04-13 18:36:57,489] INFO - desk-3 atendio ticket id=7 prioridad=media cliente=cliente-1
[2026-04-13 18:36:57,490] INFO - desk-2 atendio ticket id=5 prioridad=baja cliente=cliente-3
[2026-04-13 18:36:57,528] INFO - Pantalla publica consultada: total=1 altas=0 medias=0 bajas=1
[2026-04-13 18:36:57,531] INFO - desk-3 atendio ticket id=6 prioridad=baja cliente=cliente-3
[2026-04-13 18:36:57,532] INFO - Pantalla publica consultada: total=0 altas=0 medias=0 bajas=0
[2026-04-13 18:36:57,571] INFO - Ticket creado id=8 cliente=cliente-1 prioridad=baja
[2026-04-13 18:36:57,573] INFO - Pantalla publica consultada: total=1 altas=0 medias=0 bajas=1
[2026-04-13 18:36:57,575] INFO - Ticket creado id=9 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:57,613] INFO - desk-1 atendio ticket id=9 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:57,615] INFO - Ticket creado id=10 cliente=cliente-3 prioridad=alta
[2026-04-13 18:36:57,616] INFO - Pantalla publica consultada: total=2 altas=1 medias=0 bajas=1
[2026-04-13 18:36:57,655] INFO - Ticket creado id=11 cliente=cliente-1 prioridad=alta
[2026-04-13 18:36:57,657] INFO - Ticket creado id=12 cliente=cliente-3 prioridad=media
[2026-04-13 18:36:57,658] INFO - Ticket creado id=13 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:57,697] INFO - Pantalla publica consultada: total=5 altas=3 medias=1 bajas=1
[2026-04-13 18:36:57,699] INFO - Ticket creado id=14 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:57,700] INFO - desk-2 atendio ticket id=10 prioridad=alta cliente=cliente-3
[2026-04-13 18:36:57,739] INFO - Ticket creado id=15 cliente=cliente-1 prioridad=media
[2026-04-13 18:36:57,740] INFO - desk-3 atendio ticket id=11 prioridad=alta cliente=cliente-1
[2026-04-13 18:36:57,742] INFO - Pantalla publica consultada: total=5 altas=1 medias=2 bajas=2
[2026-04-13 18:36:57,782] INFO - Pantalla publica consultada: total=5 altas=1 medias=2 bajas=2
[2026-04-13 18:36:57,783] INFO - Pantalla publica consultada: total=5 altas=1 medias=2 bajas=2
[2026-04-13 18:36:57,784] INFO - desk-2 atendio ticket id=13 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:57,823] INFO - Ticket creado id=16 cliente=cliente-1 prioridad=baja
[2026-04-13 18:36:57,825] INFO - Ticket creado id=17 cliente=cliente-3 prioridad=alta
[2026-04-13 18:36:57,826] INFO - Ticket creado id=18 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:57,866] INFO - desk-1 atendio ticket id=17 prioridad=alta cliente=cliente-3
[2026-04-13 18:36:57,868] INFO - desk-3 atendio ticket id=18 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:57,868] INFO - Pantalla publica consultada: total=5 altas=0 medias=2 bajas=3
[2026-04-13 18:36:57,909] INFO - Pantalla publica consultada: total=5 altas=0 medias=2 bajas=3
[2026-04-13 18:36:57,912] INFO - Ticket creado id=19 cliente=cliente-3 prioridad=media
[2026-04-13 18:36:57,913] INFO - Ticket creado id=20 cliente=cliente-2 prioridad=baja
[2026-04-13 18:36:57,952] INFO - Ticket creado id=21 cliente=cliente-1 prioridad=media
[2026-04-13 18:36:57,954] INFO - Pantalla publica consultada: total=8 altas=0 medias=4 bajas=4
[2026-04-13 18:36:57,955] INFO - Pantalla publica consultada: total=8 altas=0 medias=4 bajas=4
[2026-04-13 18:36:57,995] INFO - desk-1 atendio ticket id=12 prioridad=media cliente=cliente-3
[2026-04-13 18:36:57,997] INFO - Ticket creado id=22 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:57,998] INFO - Ticket creado id=23 cliente=cliente-2 prioridad=baja
[2026-04-13 18:36:58,038] INFO - Ticket creado id=24 cliente=cliente-1 prioridad=alta
[2026-04-13 18:36:58,041] INFO - Pantalla publica consultada: total=10 altas=1 medias=3 bajas=6
[2026-04-13 18:36:58,042] INFO - Ticket creado id=25 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:58,081] INFO - desk-1 atendio ticket id=24 prioridad=alta cliente=cliente-1
[2026-04-13 18:36:58,082] INFO - Ticket creado id=26 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,083] INFO - desk-2 atendio ticket id=25 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:58,124] INFO - desk-1 atendio ticket id=15 prioridad=media cliente=cliente-1
[2026-04-13 18:36:58,126] INFO - Ticket creado id=27 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,127] INFO - Pantalla publica consultada: total=10 altas=0 medias=2 bajas=8
[2026-04-13 18:36:58,167] INFO - Ticket creado id=28 cliente=cliente-1 prioridad=alta
[2026-04-13 18:36:58,169] INFO - Ticket creado id=29 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,170] INFO - desk-2 atendio ticket id=28 prioridad=alta cliente=cliente-1
[2026-04-13 18:36:58,209] INFO - Pantalla publica consultada: total=11 altas=0 medias=2 bajas=9
[2026-04-13 18:36:58,211] INFO - Ticket creado id=30 cliente=cliente-3 prioridad=media
[2026-04-13 18:36:58,211] INFO - Pantalla publica consultada: total=12 altas=0 medias=3 bajas=9
[2026-04-13 18:36:58,251] INFO - Ticket creado id=31 cliente=cliente-1 prioridad=baja
[2026-04-13 18:36:58,253] INFO - Pantalla publica consultada: total=13 altas=0 medias=3 bajas=10
[2026-04-13 18:36:58,254] INFO - Ticket creado id=32 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:58,294] INFO - Ticket creado id=33 cliente=cliente-1 prioridad=media
[2026-04-13 18:36:58,296] INFO - Ticket creado id=34 cliente=cliente-3 prioridad=media
[2026-04-13 18:36:58,297] INFO - desk-2 atendio ticket id=32 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:58,338] INFO - desk-1 atendio ticket id=19 prioridad=media cliente=cliente-3
[2026-04-13 18:36:58,342] INFO - Pantalla publica consultada: total=14 altas=0 medias=4 bajas=10
[2026-04-13 18:36:58,343] INFO - desk-3 atendio ticket id=21 prioridad=media cliente=cliente-1
[2026-04-13 18:36:58,382] INFO - Ticket creado id=35 cliente=cliente-1 prioridad=baja
[2026-04-13 18:36:58,386] INFO - Ticket creado id=36 cliente=cliente-2 prioridad=baja
[2026-04-13 18:36:58,387] INFO - Ticket creado id=37 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,424] INFO - desk-1 atendio ticket id=30 prioridad=media cliente=cliente-3
[2026-04-13 18:36:58,429] INFO - Pantalla publica consultada: total=15 altas=0 medias=2 bajas=13
[2026-04-13 18:36:58,429] INFO - desk-3 atendio ticket id=33 prioridad=media cliente=cliente-1
[2026-04-13 18:36:58,466] INFO - Pantalla publica consultada: total=14 altas=0 medias=1 bajas=13
[2026-04-13 18:36:58,471] INFO - Ticket creado id=38 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:58,473] INFO - desk-3 atendio ticket id=38 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:58,508] INFO - desk-1 atendio ticket id=34 prioridad=media cliente=cliente-3
[2026-04-13 18:36:58,513] INFO - Ticket creado id=39 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:58,515] INFO - Ticket creado id=40 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,551] INFO - desk-1 atendio ticket id=39 prioridad=alta cliente=cliente-2
[2026-04-13 18:36:58,554] INFO - desk-2 atendio ticket id=8 prioridad=baja cliente=cliente-1
[2026-04-13 18:36:58,556] INFO - Ticket creado id=41 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,592] INFO - Pantalla publica consultada: total=14 altas=0 medias=0 bajas=14
[2026-04-13 18:36:58,597] INFO - desk-2 atendio ticket id=14 prioridad=baja cliente=cliente-3
[2026-04-13 18:36:58,598] INFO - Ticket creado id=42 cliente=cliente-3 prioridad=baja
[2026-04-13 18:36:58,635] INFO - desk-1 atendio ticket id=16 prioridad=baja cliente=cliente-1
[2026-04-13 18:36:58,639] INFO - Ticket creado id=43 cliente=cliente-2 prioridad=alta
[2026-04-13 18:36:58,640] INFO - Ticket creado id=44 cliente=cliente-3 prioridad=media
[2026-04-13 18:36:58,678] INFO - Ticket creado id=45 cliente=cliente-1 prioridad=baja
